experience,gender,salary
0,female,28300
0,female,30400
1,female,28950
0,female,30850
0,female,28700
0,female,31550
2,female,30450
1,female,30450
2,female,28500
2,female,30650
2,female,31350
2,female,31350
3,female,31000
3,female,32350
4,female,32050
5,female,30150
8,female,34100
11,female,32900
11,female,31300
15,female,35900
16,female,35050
18,female,33550
19,female,35700
20,female,35200
21,female,38200
29,female,35600
1,male,34800
3,male,34550
6,male,36900
7,male,36250
14,male,40700
15,male,37250
16,male,43700
16,male,35800
17,male,36750
19,male,41250
19,male,40100
5,male,37000
20,male,41400
21,male,42800
23,male,39500
24,male,38800
31,male,45000
32,male,42200
33,male,40300
33,male,42050
27,male,41000
35,male,44400
